subject_id,year_in_study,record_date,state,travel_length_weeks,travel_start_month,regular_work_visits,work_visit_hours,work_visit_days,type,travel_mode,travel_mode_other,country,region_name
grls0OGJIE22,3,2017-01,KS,1.0,March,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,April,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,June,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,MO,1.0,December,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,MO,2.0,July,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,MO,1.0,February,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,MO,1.0,March,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,MO,1.0,April,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,MO,1.0,June,0,0,0,other,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,December,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,2.0,July,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,February,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,March,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,April,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,June,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,December,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,2.0,July,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,February,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,March,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,April,0,0,0,kennel,Car,,US,Midwest
grls0OGJIE22,3,2017-01,KS,1.0,June,0,0,0,kennel,Car,,US,Midwest
